id;suorituspaiva;luottamuksen_taso;vaativuustaso;lisatiedot;lukittu;oppimistavoite_id;tyoskentelyjakso_id
1;2020-11-16;5;5;../fake-data/blob/lorem.txt;false;1;1
2;2020-11-16;5;2;../fake-data/blob/lorem.txt;false;2;2
3;2020-11-16;3;3;../fake-data/blob/lorem.txt;true;3;3
4;2020-11-16;5;4;../fake-data/blob/lorem.txt;true;4;4
5;2020-11-17;5;5;../fake-data/blob/lorem.txt;true;5;5
6;2020-11-16;1;1;../fake-data/blob/lorem.txt;true;5;6
7;2020-11-16;5;4;../fake-data/blob/lorem.txt;false;5;7
8;2020-11-16;2;4;../fake-data/blob/lorem.txt;true;5;8
9;2020-11-17;5;3;../fake-data/blob/lorem.txt;false;5;9
10;2020-11-16;2;3;../fake-data/blob/lorem.txt;false;5;10
